symbol,date,open,low,volume,close,high,adjclose,splits
nflx,2020-12-01,492.3399963378906,491.9800109863281,5052700,504.5799865722656,509.4700012207031,504.5799865722656,0.0
nflx,2020-12-02,501.6199951171875,493.5,3028400,503.3800048828125,506.79998779296875,503.3800048828125,0.0
nflx,2020-12-03,502.989990234375,496.0400085449219,2826100,497.5199890136719,508.7699890136719,497.5199890136719,0.0
nflx,2020-12-04,497.5,493.6400146484375,3666200,498.30999755859375,504.5,498.30999755859375,0.0
nflx,2020-12-07,500.010009765625,497.7699890136719,4289300,515.780029296875,517.760009765625,515.780029296875,0.0
nflx,2020-12-08,517.9000244140625,505.54998779296875,4229000,512.6599731445312,521.489990234375,512.6599731445312,0.0
nflx,2020-12-09,510.5299987792969,491.2900085449219,4178800,493.6000061035156,514.5,493.6000061035156,0.0
nflx,2020-12-10,494.55999755859375,492.9100036621094,3018200,501.0899963378906,503.7699890136719,501.0899963378906,0.0
nflx,2020-12-11,495.0,494.8500061035156,3210900,503.2200012207031,503.3399963378906,503.2200012207031,0.0
nflx,2020-12-14,505.44000244140625,501.17999267578125,5770400,522.4199829101562,524.1599731445312,522.4199829101562,0.0
nflx,2020-12-15,518.5,513.5599975585938,3394900,519.780029296875,524.7000122070312,519.780029296875,0.0
nflx,2020-12-16,520.1099853515625,517.6900024414062,3682400,524.8300170898438,527.3800048828125,524.8300170898438,0.0
nflx,2020-12-17,529.0,526.4400024414062,3193400,532.9000244140625,535.489990234375,532.9000244140625,0.0
nflx,2020-12-18,533.2000122070312,526.02001953125,4502700,534.4500122070312,536.3699951171875,534.4500122070312,0.0
nflx,2020-12-21,530.0499877929688,521.1500244140625,3894000,528.9099731445312,532.6199951171875,528.9099731445312,0.0
nflx,2020-12-22,527.6900024414062,520.5,1906600,527.3300170898438,530.4000244140625,527.3300170898438,0.0
nflx,2020-12-23,524.760009765625,514.2000122070312,2393200,514.47998046875,526.3200073242188,514.47998046875,0.0
nflx,2020-12-24,515.1199951171875,512.2100219726562,1144000,513.969970703125,519.3499755859375,513.969970703125,0.0
nflx,2020-12-28,516.4299926757812,507.1300048828125,2891900,519.1199951171875,523.6599731445312,519.1199951171875,0.0
nflx,2020-12-29,519.9000244140625,515.47998046875,4022400,530.8699951171875,536.5499877929688,530.8699951171875,0.0
nflx,2020-12-30,530.1300048828125,523.6900024414062,1876300,524.5900268554688,533.260009765625,524.5900268554688,0.0
nflx,2020-12-31,525.530029296875,523.1500244140625,5392300,540.72998046875,545.5,540.72998046875,0.0
nflx,2021-01-04,539.0,515.0900268554688,4444400,522.8599853515625,540.7999877929688,522.8599853515625,0.0
nflx,2021-01-05,521.5499877929688,515.8900146484375,3133900,520.7999877929688,526.780029296875,520.7999877929688,0.0
nflx,2021-01-06,511.9700012207031,499.5,5346200,500.489990234375,513.0999755859375,500.489990234375,0.0
nflx,2021-01-07,508.2799987792969,506.4200134277344,3686400,508.8900146484375,516.4400024414062,508.8900146484375,0.0
nflx,2021-01-08,511.30999755859375,504.510009765625,2973900,510.3999938964844,513.239990234375,510.3999938964844,0.0
nflx,2021-01-11,507.8399963378906,497.95001220703125,3806200,499.1000061035156,510.7300109863281,499.1000061035156,0.0
nflx,2021-01-12,500.0,485.6700134277344,5990400,494.25,501.0899963378906,494.25,0.0
nflx,2021-01-13,495.5,493.010009765625,5032100,507.7900085449219,512.3499755859375,507.7900085449219,0.0
nflx,2021-01-14,507.3500061035156,499.5799865722656,4177400,500.8599853515625,514.5,500.8599853515625,0.0
nflx,2021-01-15,500.0,495.1000061035156,5895800,497.9800109863281,506.32000732421875,497.9800109863281,0.0
nflx,2021-01-19,501.0,493.5400085449219,12315800,501.7699890136719,509.25,501.7699890136719,0.0
nflx,2021-01-20,565.4199829101562,556.8599853515625,32637500,586.3400268554688,593.2899780273438,586.3400268554688,0.0
nflx,2021-01-21,582.4500122070312,570.4000244140625,11802100,579.8400268554688,588.75,579.8400268554688,0.0
nflx,2021-01-22,582.0999755859375,564.3499755859375,7550800,565.1699829101562,583.989990234375,565.1699829101562,0.0
nflx,2021-01-25,567.0,548.6500244140625,7207300,556.780029296875,569.75,556.780029296875,0.0
nflx,2021-01-26,554.72998046875,554.0599975585938,5023800,561.9299926757812,567.989990234375,561.9299926757812,0.0
nflx,2021-01-27,550.7100219726562,515.72998046875,8670300,523.280029296875,556.4199829101562,523.280029296875,0.0
nflx,2021-01-28,535.8800048828125,530.739990234375,5969000,538.5999755859375,553.1500244140625,538.5999755859375,0.0
nflx,2021-01-29,538.0,530.1799926757812,4325300,532.3900146484375,541.0,532.3900146484375,0.0
nflx,2021-02-01,536.7899780273438,531.72998046875,3547500,539.0399780273438,545.0599975585938,539.0399780273438,0.0
nflx,2021-02-02,542.010009765625,538.9299926757812,3767600,548.1599731445312,555.47998046875,548.1599731445312,0.0
nflx,2021-02-03,550.1699829101562,538.239990234375,3172300,539.4500122070312,550.47998046875,539.4500122070312,0.0
nflx,2021-02-04,539.8099975585938,537.510009765625,5164500,552.1599731445312,559.47998046875,552.1599731445312,0.0
nflx,2021-02-05,552.260009765625,545.47998046875,2376200,550.7899780273438,554.4400024414062,550.7899780273438,0.0
nflx,2021-02-08,555.0,543.7000122070312,2791700,547.9199829101562,555.0,547.9199829101562,0.0
nflx,2021-02-09,546.0,543.0,3703500,559.0700073242188,566.0,559.0700073242188,0.0
nflx,2021-02-10,562.5,553.4600219726562,3991300,563.5900268554688,566.6500244140625,563.5900268554688,0.0
nflx,2021-02-11,564.4400024414062,554.219970703125,2730600,557.5900268554688,565.9299926757812,557.5900268554688,0.0
nflx,2021-02-12,556.9400024414062,550.8499755859375,2197100,556.52001953125,561.25,556.52001953125,0.0
nflx,2021-02-16,557.2899780273438,552.72998046875,2624100,557.280029296875,563.6300048828125,557.280029296875,0.0
nflx,2021-02-17,550.989990234375,543.030029296875,2069600,551.3400268554688,555.25,551.3400268554688,0.0
nflx,2021-02-18,549.0,538.22998046875,2456200,548.219970703125,550.0,548.219970703125,0.0
nflx,2021-02-19,548.0,538.8099975585938,2841500,540.219970703125,548.989990234375,540.219970703125,0.0
nflx,2021-02-22,534.989990234375,530.7899780273438,3078600,533.780029296875,541.7899780273438,533.780029296875,0.0
nflx,2021-02-23,525.0,518.280029296875,4136500,546.1500244140625,548.5399780273438,546.1500244140625,0.0
nflx,2021-02-24,539.7999877929688,539.0700073242188,3245000,553.4099731445312,556.8499755859375,553.4099731445312,0.0
nflx,2021-02-25,550.27001953125,535.75,4252900,546.7000122070312,556.47998046875,546.7000122070312,0.0
nflx,2021-02-26,546.510009765625,538.0,3755600,538.8499755859375,553.0900268554688,538.8499755859375,0.0
nflx,2021-03-01,545.5700073242188,542.0,3041400,550.6400146484375,552.1400146484375,550.6400146484375,0.0
nflx,2021-03-02,553.3400268554688,546.02001953125,3042200,547.8200073242188,556.989990234375,547.8200073242188,0.0
nflx,2021-03-03,545.9299926757812,517.8099975585938,5362400,520.7000122070312,548.010009765625,520.7000122070312,0.0
nflx,2021-03-04,521.5,507.67999267578125,5034800,511.2900085449219,531.5,511.2900085449219,0.0
nflx,2021-03-05,511.9800109863281,498.7900085449219,5070000,516.3900146484375,517.760009765625,516.3900146484375,0.0
nflx,2021-03-08,514.4600219726562,492.8500061035156,3981800,493.3299865722656,518.8400268554688,493.3299865722656,0.0
